sequence,latitude,longitude,altitude
2022-07-10 18:19:01+00:00,32.6377,-117.0826,137.663866
2022-07-10 18:19:02+00:00,32.6377,-117.0826,137.663866
2022-07-10 18:19:03+00:00,32.6377,-117.0826,137.663866
2022-07-10 18:19:04+00:00,32.6377,-117.0826,137.663866
2022-07-10 18:19:05+00:00,32.6377,-117.0826,137.763866
2022-07-10 18:19:05+00:00,32.6377,-117.0825,137.763866
2022-07-10 18:19:06+00:00,32.6377,-117.0826,137.763866
2022-07-10 18:19:07+00:00,32.6377,-117.0826,137.763866
2022-07-10 18:19:08+00:00,32.6377,-117.0826,137.763866
2022-07-10 18:19:08+00:00,32.6377,-117.0826,137.663866
2022-07-10 18:19:09+00:00,32.6377,-117.0826,137.663866
2022-07-10 18:19:09+00:00,32.6376,-117.0826,137.663866
2022-07-10 18:19:10+00:00,32.6376,-117.0826,137.663866
2022-07-10 18:19:11+00:00,32.6376,-117.0826,137.663866
2022-07-10 18:19:11+00:00,32.6376,-117.0827,137.663866
2022-07-10 18:19:12+00:00,32.6376,-117.0827,137.663866
2022-07-10 18:19:12+00:00,32.6375,-117.0827,137.663866
2022-07-10 18:19:12+00:00,32.6375,-117.0827,137.763866
2022-07-10 18:19:13+00:00,32.6375,-117.0827,137.763866
2022-07-10 18:19:13+00:00,32.6375,-117.0828,137.763866
2022-07-10 18:19:13+00:00,32.6374,-117.0828,137.763866
2022-07-10 18:19:14+00:00,32.6374,-117.0828,137.763866
2022-07-10 18:19:14+00:00,32.6374,-117.0828,137.663866
2022-07-10 18:19:14+00:00,32.6374,-117.0829,137.663866
2022-07-10 18:19:14+00:00,32.6373,-117.0829,137.663866
2022-07-10 18:19:15+00:00,32.6373,-117.0829,137.663866
2022-07-10 18:19:15+00:00,32.6372,-117.0829,137.663866
2022-07-10 18:19:15+00:00,32.6372,-117.0829,137.763866
2022-07-10 18:19:16+00:00,32.6372,-117.0829,137.863866
2022-07-10 18:19:16+00:00,32.6372,-117.0829,137.963866
2022-07-10 18:19:16+00:00,32.6372,-117.083,137.963866
2022-07-10 18:19:16+00:00,32.6371,-117.083,137.863866
2022-07-10 18:19:17+00:00,32.6371,-117.083,137.863866
2022-07-10 18:19:17+00:00,32.6371,-117.083,137.763866
2022-07-10 18:19:17+00:00,32.637,-117.083,137.763866
2022-07-10 18:19:18+00:00,32.637,-117.083,137.763866
2022-07-10 18:19:18+00:00,32.637,-117.083,137.663866
2022-07-10 18:19:18+00:00,32.6369,-117.083,137.663866
2022-07-10 18:19:19+00:00,32.6369,-117.083,137.763866
2022-07-10 18:19:19+00:00,32.6369,-117.083,137.863866
2022-07-10 18:19:19+00:00,32.6369,-117.083,137.963866
2022-07-10 18:19:20+00:00,32.6368,-117.083,137.863866
2022-07-10 18:19:20+00:00,32.6368,-117.0829,137.863866
2022-07-10 18:19:21+00:00,32.6368,-117.0829,137.863866
2022-07-10 18:19:21+00:00,32.6368,-117.0829,137.763866
2022-07-10 18:19:22+00:00,32.6368,-117.0829,137.763866
2022-07-10 18:19:22+00:00,32.6368,-117.0829,137.663866
2022-07-10 18:19:22+00:00,32.6368,-117.0829,137.563866
2022-07-10 18:19:23+00:00,32.6368,-117.0829,137.563866
2022-07-10 18:19:23+00:00,32.6367,-117.0829,137.663866
2022-07-10 18:19:24+00:00,32.6367,-117.0829,137.663866
2022-07-10 18:19:25+00:00,32.6367,-117.0829,137.663866
2022-07-10 18:19:25+00:00,32.6367,-117.0829,137.763866
2022-07-10 18:19:26+00:00,32.6367,-117.0829,137.763866
2022-07-10 18:19:26+00:00,32.6366,-117.0829,137.863866
2022-07-10 18:19:26+00:00,32.6366,-117.0828,137.863866
