,lat_map,lon_map,time,id,date,time_s,address_map,incident_id,type,department,clean-type,match,drone-date
8604,32.6031175,-117.0788158,2:31pm,2570ae7a77292faeac74e821a09e5493,2023-07-12,2:31pm,600 Palomar St,L058845,Located Stolen Vehicle,cvpd,located stolen vehicle,58845,2023-07-12 14:31:00
8654,32.6066251,-117.0829019,11:36am,aece4b21c55645a21dca93aa9d0270e1,2023-07-14,11:36am,1150 Broadway,CVL59413,Robbery,cvpd,robbery,59413,2023-07-14 11:36:00
8655,32.6047624,-117.0810631,11:53am,5b287f02fa75e3ecbf3915bab270a4c0,2023-07-14,11:53am,1240 Broadway,CVL59095,Wanted Subject,cvpd,wanted subject,59095,2023-07-14 11:53:00
8656,32.6024763,-117.0828099,3:38pm,3d63da931ab3281f27df39deb9cc33ce,2023-07-14,3:38pm,660 Palomar St.,CVL59462,Subject Causing Disturbance,cvpd,subject causing disturbance,59462,2023-07-14 15:38:00
8689,32.6032942,-117.0786993,11:11pm,ebd8f61003036264b57b913d53765354,2023-07-16,11:11pm,1300 Broadway,L060195,Disorderly Person,cvpd,disorderly person,60195,2023-07-16 23:11:00
8721,32.6031175,-117.0788158,11:22am,8ede021d0b11dcbbe7be4e1486303d53,2023-07-17,11:22am,600 Palomar St,L060338,Assault with Deadly Weapon,cvpd,assault with deadly weapon,60338,2023-07-17 11:22:00
8748,32.6031175,-117.0788158,10:15am,90137286e21dbf34f94bc3f6774d1ddd,2023-07-18,10:15am,600 Palomar St/ 500 Palomar St,L060644/ L060645,Assault/ Suspicious Person,cvpd,assault/ suspicious person,60645,2023-07-18 10:15:00
8793,32.6047714,-117.0879813,4:40pm,8fb9ff2ec7d24466ddbe85fda8f8dabd,2023-07-21,4:40pm,1187 Walnut Ave.,CVL61766,Assault with Deadly Weapon,cvpd,assault with deadly weapon,61766,2023-07-21 16:40:00
8797,32.6067906,-117.0800823,9:09am,11647cace6cd7cd53269cd028b36ea41,2023-07-21,9:09am,600 Oxford St.,CVL61654,Welfare Check,cvpd,welfare check,61654,2023-07-21 09:09:00
8804,32.6031175,-117.0788158,12:09pm,fbdea1313110ac87de2ae5a83f230430,2023-07-21,12:09pm,600 Palomar St.,CVL61706,Traffic Hazard,cvpd,traffic hazard,61706,2023-07-21 12:09:00
8828,32.6031175,-117.0788158,5:00pm,6d826d3cf33ae9689bde358152df45a2,2023-07-22,5:00pm,600 Palomar St.,CVL62063,Wanted Subject,cvpd,wanted subject,62063,2023-07-22 17:00:00
8839,32.6075709,-117.0852117,12:44pm,d40cdffdbf66252a726fcc7cb9bcb68b,2023-07-23,12:44pm,681 Naples St.,CVL62269,Suspicious Person,cvpd,suspicious person,62269,2023-07-23 12:44:00
8888,32.6090119,-117.08782,7:14pm,95bce893b3ec3f42d78e7bef066b2aee,2023-07-26,7:14pm,1100 Industrial Blvd,L063323,Public Indecency,cvpd,public indecency,63323,2023-07-26 19:14:00
8891,32.6090119,-117.08782,4:58pm,77ec946ccd80aecac52cdbe733b6104f,2023-07-26,4:58pm,1100 Industrial Blvd,L063283,Disorderly Person,cvpd,disorderly person,63283,2023-07-26 16:58:00
8921,32.6090119,-117.08782,11:29am,32201306eb8405f4fd30012e089259ca,2023-07-27,11:29am,1100 Industrial Bl,CVL063519,Weapon Threat,cvpd,weapon threat,63519,2023-07-27 11:29:00
8928,32.6091654,-117.081293,4:18pm,2db502c7f9338b4063536b99c19f0d6f,2023-07-28,4:18pm,1120 Broadway,CVL63922,Duress Alarm,cvpd,duress alarm,63922,2023-07-28 16:18:00
8947,32.6016798,-117.0934169,11:00pm,8a6e34472c7ac11fc519a104d2d9b23b,2023-07-29,11:00pm,1470 Bay Blvd.,CVL64384,Suspicious Circumstances,cvpd,suspicious circumstances,64384,2023-07-29 23:00:00
8967,32.6170985,-117.0841159,5:05pm,76264c84ea739587e3909d246a66eb70,2023-07-30,5:05pm,Broadway/ L St.,CVL64571,Suspicious Person,cvpd,suspicious person,64571,2023-07-30 17:05:00
8983,32.6067906,-117.0800823,3:42pm,07ac46af8b88a54d84242a7feeb12d6c,2023-07-30,3:42pm,600 Oxford St.,CVL64559,Suspicious Person,cvpd,suspicious person,64559,2023-07-30 15:42:00
9076,32.6046023,-117.0828099,5:00pm,92df01d7737eeebd8f8417012717266c,2023-08-04,5:00pm,657 Palomar St.,CVL66242,Robbery,cvpd,robbery,66242,2023-08-04 17:00:00
9079,32.6098649,-117.0813317,4:10pm,c5667e4fce621398b1a56c391fc6562f,2023-08-04,4:10pm,Broadway/ Naples St.,CVL66231,Suspicious Person,cvpd,suspicious person,66231,2023-08-04 16:10:00
9097,32.6066251,-117.0829019,10:24am,94ff44dedd1373541d45deb7dffcf52e,2023-08-05,10:24am,1150 Broadway,CVL66454,Welfare Check,cvpd,welfare check,66454,2023-08-05 10:24:00
9106,32.6031175,-117.0788158,10:00pm,a35eaf3e050a199aa69f0a37eaa50622,2023-08-06,10:00pm,600 Palomar St,L066853,Threats,cvpd,threats,66853,2023-08-06 22:00:00
9120,32.6067906,-117.0800823,10:18am,42e85c7bc8289ab28a4fa996553b021c,2023-08-06,10:18am,600 Oxford St.,CVL66727,Unknown Problem,cvpd,unknown problem,66727,2023-08-06 10:18:00
9178,32.6031175,-117.0788158,4:12pm,9a12c72e633ae6b928d761d61e9b8ed4,2023-08-08,4:12pm,600 Palomar St,CVL067484,Robbery,cvpd,robbery,67484,2023-08-08 16:12:00
9204,32.6217551,-117.0370937,12:55pm,1e571f71a175fdfe3fbb0fb44908f8d7,2023-08-10,12:55pm,1200 Broadway,CVL068115,assault,cvpd,assault,68115,2023-08-10 12:55:00
9209,32.603847,-117.0856467,7:53pm,50598d6b8b9de89c01d2e2a52c752701,2023-08-11,7:53pm,1200 Industrial Blvd.,CVL68558,Traffic Hazard,cvpd,traffic hazard,68558,2023-08-11 19:53:00
9216,32.6063724,-117.0857519,4:47pm,997a985396721ddcebc8aca23f13d13d,2023-08-11,4:47pm,690 Oxford St.,CVL68507,Collision ,cvpd,collision,68507,2023-08-11 16:47:00
9234,32.6066251,-117.0829019,4:49pm,e9b1a1ccb4413dde8197e4b8b94dba16,2023-08-12,4:49pm,1150 Broadway,CVL68765,Gas Leak/ Fire,cvpd,gas leak/ fire,68765,2023-08-12 16:49:00
9235,32.6066251,-117.0829019,4:54pm,deab8c670bf83a0752ba9d56da3b093b,2023-08-12,4:54pm,1150 Broadway,CVL68765,Gas Leak/ Fire,cvpd,gas leak/ fire,68765,2023-08-12 16:54:00
9239,32.6251437,-117.0690567,10:04pm,f6d1e8ed5e50dad84a0ccabb2b4098e2,2023-08-12,10:04pm,800 Second Ave.,CVL68839,Stolen Vehicle,cvpd,stolen vehicle,68839,2023-08-12 22:04:00
9297,32.61739597,-117.07165212,10:28am,0ef00aef44193db6c0d34f633568625a,2023-08-14,10:28am,1100 Walnut,CVL069263,Fight,cvpd,fight,69263,2023-08-14 10:28:00
9327,32.6217551,-117.0370937,6:37pm,8a83235cb80e675ed62e3334db29c274,2023-08-17,6:37pm,1200 Broadway,CVL070383,Disturbance-Person,cvpd,disturbance-person,70383,2023-08-17 18:37:00
9359,32.6003974,-117.0889996,5:47pm,e2f986e28a60ea469f69eeed42a33433,2023-08-19,5:47pm,1500 Frontage Rd.,CVL70952,Suspicious Vehicle,cvpd,suspicious vehicle,70952,2023-08-19 17:47:00
9363,32.6306967,-117.0895486,1:39pm,d325016a2d81531ce546f282ecc27a2a,2023-08-19,1:39pm,500 Broadway,CVL70910,Carjacking,cvpd,carjacking,70910,2023-08-19 13:39:00
9403,32.608699,-117.081237,8:31pm,3f577329fc4b09b82b929057199ea039,2023-08-25,8:31pm,1130 Broadway,CVL72818,Subject Causing Disturbance,cvpd,subject causing disturbance,72818,2023-08-25 20:31:00
9489,32.6217551,-117.0370937,6:59pm,2e40c0bd4401f65cd7ec10eb569dbcd2,2023-08-30,6:59pm,1200 Broadway,L074454,Robbery,cvpd,robbery,74454,2023-08-30 18:59:00
9494,32.6031175,-117.0788158,4:04pm,9583d59ec1a9ee74395fc8f372dfb2a1,2023-08-30,4:04pm,600 Palomar St,L074414,Domestic Violence,cvpd,domestic violence,74414,2023-08-30 16:04:00
9513,32.61741973,-117.07165772,5:15pm,49ca9886a160ba54a96aef96bd77f0c6,2023-08-31,5:15pm,1100 Broadway / 600 Palomar St,L074730 / L074731,Robbery / Assault,cvpd,robbery / assault,74731,2023-08-31 17:15:00
