lat_map,lon_map,time,id,date_x,time_s,address_map,incident_id,type,department,clean-type,match,population_exposed,households_exposed,total_blocks,date_y
32.6220554,-117.0405308,1:06pm,753106f1ad7f3bba6eebf5465cb5be7e,2023-02-12,1:06pm,I-805/ Bonita Rd.,CVL12723,Reckless Driver,cvpd,reckless driver,12723,1971.0,809.0,18.0,2023-02-12
32.6297638,-117.0936923,9:33am,5fe28e969e2b234955dce7250e41304a,2023-02-12,9:33am,700 H Street,cvl12688,Theft,cvpd,theft,12688,4821.0,1747.0,13.0,2023-02-12
32.6333964,-117.0818848,5:25pm,e5d3564892f16147449a53fe292b8896,2023-02-13,5:25pm,400 H St,CVL013091,Duress Alarm ,cvpd,duress alarm,13091,2115.0,854.0,9.0,2023-02-14
32.6050972,-117.0724577,5:09pm,439b6aa6052dad91d459e589487a6105,2023-02-13,5:09pm,Palomar St/ I-5 Freeway,CVL013088,Suspicious person ,cvpd,suspicious person,13088,6331.0,2107.0,16.0,2023-02-14
32.6240434,-117.0731584,3:16pm,ada806c3a27dee4cfdf0429dc117a49b,2023-02-13,3:16pm,Third Ave/ K St,CVL013053,Welfare Check ,cvpd,welfare check,13053,3762.0,1519.0,14.0,2023-02-13
32.6298124,-117.0019038,3:09pm,62621b1eaf396186ea197ab043029c27,2023-02-13,3:09pm,Buena Vista Way/ Telegraph Canyon Rd,CVL013068,Reckless Driver ,cvpd,reckless driver,13068,10786.0,3462.0,19.0,2023-02-13
32.64241,-117.082603,2:20pm,0dd6a7c0a7565f9ba5ae1b3cf8b52c96,2023-02-13,2:20pm,Davidson St/ Garrett Ave,CVL013040,Weapons Threat ,cvpd,weapons threat,13040,569.0,234.0,4.0,2023-02-13
32.6274606,-117.0744953,11:35am,251fd54f624821c50c4515d92502ecb9,2023-02-13,11:35am,700 Third Ave,CVL012980,Indecent Exposure ,cvpd,indecent exposure,12980,5072.0,2112.0,21.0,2023-02-13
32.6274606,-117.0744953,11:27am,3eadd41efa1379c264c0c8b82bd120b8,2023-02-13,11:27am,700 Third Ave,CVL012980,Indecent Exposure ,cvpd,indecent exposure,12980,306.0,130.0,1.0,2023-02-13
32.6376646,-117.0188966,10:49am,3a8e4d392537a7478b9cd0ed2456aa64,2023-02-13,10:49am,800 Amena Ct,CVL012957,Suspicious person ,cvpd,suspicious person,12957,4408.0,1421.0,10.0,2023-02-13
32.6174337954327,-117.071699979552,7:51am,c38590809b359759da0be6b81d61dd6b,2023-02-13,7:51am,330 Moss St,,,cvpd,,,861.0,326.0,1.0,2023-02-13
32.6697602528134,-116.98047841029,12:51am,592a9030426d7e703069613308f8dfbf,2023-02-13,12:51am,283 Aventura Dr,,,cvpd,,,1475.0,458.0,4.0,2023-02-13
32.5949016,-117.0841026,12:31pm,21aa72a0b7853f76a921e67a90b178f7,2023-02-13,12:31pm,Industrial Blvd/ Main St,CVL013008,Traffic Collision ,cvpd,traffic collision,13008,8419.0,2677.0,16.0,2023-02-13
32.6310889,-117.0260175,9:54am,85f513b3f4d13713e4bfb94497b3305f,2023-02-13,9:54am,800 Cedarbend Way,CV2302053,Missing person ,cvpd,missing person,02053,4344.0,1368.0,10.0,2023-02-13
32.6498412780479,-117.089452706432,8:37am,5139b97086e24dbe4452638b1695bec0,2023-02-14,8:37am,436 C St,,,cvpd,,,875.0,351.0,1.0,2023-02-14
32.6194593,-116.9862881,8:41pm,ede99722d85170b9663184b534537c0e,2023-02-15,8:41pm,1525 Calle de la Rosa Unit 305,CVL013776,Welfare Check,cvpd,welfare check,13776,,,,
32.5978847,-117.0645377,12:28am,cb0b7b5cece926f8cff1f6e2411effce,2023-02-15,12:28am,1600 Third Avenue,2302132,DV Vandalism,cvpd,dv vandalism,02132,,,,
32.6195448422611,-116.986924278533,8:33pm,d8ccf79d134c5b5017fc8aaa3aeaf08e,2023-02-15,8:33pm,1510 San Andreas,,,cvpd,,,170.0,55.0,1.0,2023-02-16
32.6332598,-117.0939625,4:51pm,24e7ced12192e0bb44cfe4a77dc9ed9f,2023-02-15,4:51pm,400 Oaklawn Ave,CVL013742,Suspicious person ,cvpd,suspicious person,13742,5471.0,1917.0,11.0,2023-02-16
32.6501786,-117.0879108,4:26pm,b3adbe4353c9ce4cf8f8cf73104a4479,2023-02-15,4:26pm,20 Fourth Ave,CVL013731,Traffic Stop ,cvpd,traffic stop,13731,2722.0,1011.0,6.0,2023-02-16
32.6205961,-117.0718305,4:20pm,46ff8797ac6cca1735e6bb4eed9d6607,2023-02-15,4:20pm,Third Ave/ L St,CVL13738,Water Leak ,cvpd,water leak,13738,2568.0,886.0,4.0,2023-02-16
32.5951739212759,-117.064341017787,12:18am,130f03ed0b03b76be9a2f5496280c011,2023-02-15,12:18am,3rd Av & Main St,,,cvpd,,,194.0,51.0,2.0,2023-02-15
32.6196761,-116.9676297,4:11pm,3941afa4ae655baf531ad76a0433c940,2023-02-15,4:11pm,Artisan St/ Millenia Ave,CVL013726,Traffic Collision ,cvpd,traffic collision,13726,362.0,193.0,4.0,2023-02-16
32.6398391,-117.0748833,3:35pm,e814d64d0dc975f339afbf92b98c1257,2023-02-15,3:35pm,200 Madrona St,CVL013718,Unknown problem ,cvpd,unknown problem,13718,1117.0,438.0,9.0,2023-02-15
32.5924209445112,-117.075029767814,2:48pm,aeed9c1d5ec4a76644a6320cc3c8ae3d,2023-02-15,2:48pm,"Otay Valley River Regional Park Staging Area, 2675 Faivre St",,,cvpd,,,153.0,46.0,2.0,2023-02-15
